Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #6410
Sample Name,Benzoic Acid
Formula,C7H6O2
Molecular Weight (g/mol),122.113
Sample Weight (g),0.2000
Water Temp (deg C),24.30
Room Temp (deg C),23.13
Water Volume (L),2.0
Wire Before (g),0.023
Wire After (g),0.019
=====,=====
Time (s),Temperature (C)
0.00,23.13
30.00,23.14
60.00,23.13
90.00,23.14
120.00,23.13
150.00,23.12
180.00,23.12
210.00,23.13
240.00,23.15
270.00,23.13
300.00,23.13
330.00,23.13
360.00,23.14
390.00,23.13
420.00,23.15
450.00,23.13
480.00,23.13
510.00,23.13
540.00,23.13
570.00,23.15
600.00,23.14
630.00,23.14
660.00,23.12
690.00,23.14
720.00,23.12
750.00,23.14
780.00,23.14
810.00,23.13
840.00,23.14
870.00,23.12
900.00,23.14
930.00,23.15
960.00,23.15
