Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #6410
Sample Name,Benzoic Acid
Formula,C7H6O2
Molecular Weight (g/mol),122.113
Sample Weight (g),1.0000
Water Temp (deg C),24.10
Room Temp (deg C),24.18
Water Volume (L),2.0
Wire Before (g),0.022
Wire After (g),0.014
=====,=====
Time (s),Temperature (C)
0.00,24.18
30.00,24.19
60.00,24.18
90.00,24.19
120.00,24.18
150.00,24.17
180.00,24.19
210.00,24.17
240.00,24.18
270.00,24.19
300.00,24.16
330.00,24.16
360.00,24.18
390.00,24.18
420.00,24.16
450.00,24.17
480.00,24.18
510.00,24.20
540.00,24.16
570.00,24.17
600.00,24.17
630.00,24.18
660.00,24.17
690.00,24.18
720.00,24.16
750.00,24.17
780.00,24.17
810.00,24.18
840.00,24.18
870.00,24.18
900.00,24.16
930.00,24.16
960.00,24.19
