Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #6410
Sample Name,Benzoic Acid
Formula,C7H6O2
Molecular Weight (g/mol),122.113
Sample Weight (g),2.0000
Water Temp (deg C),24.10
Room Temp (deg C),24.46
Water Volume (L),2.0
Wire Before (g),0.028
Wire After (g),0.026
=====,=====
Time (s),Temperature (C)
0.00,24.46
30.00,24.44
60.00,24.47
90.00,24.45
120.00,24.47
150.00,24.45
180.00,24.46
210.00,24.45
240.00,24.46
270.00,24.46
300.00,24.45
330.00,24.47
360.00,24.44
390.00,24.47
420.00,24.44
450.00,24.47
480.00,24.44
510.00,24.47
540.00,24.47
570.00,24.45
600.00,24.44
630.00,24.45
660.00,24.45
690.00,24.44
720.00,24.47
750.00,24.46
780.00,24.47
810.00,24.45
840.00,24.44
870.00,24.46
900.00,24.46
930.00,24.45
960.00,24.44
